"pkey";"fkPrikaz";"fkOtdelenie";"fkProfKo";"DateInput";"PostPatVsego";"PostPatSels";"PostPatDet";"PostPatPens";"PervIzPatVsego";"PervIzPatSels";"PervIzPatPens";"PervVPatVsego";"PervVPatSels";"PervVPatPens";"VypPatVsego";"VypPatSels";"VypPatDet";"VypPatPens";"UmrPatVsego";"UmrPatSels";"UmrPatTekSutki";"DateAdd";"PervIzDet";"PervVDet";"UmrPatDet";"UmrPatPens"
4294;1;3;3;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4295;1;2;2;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4296;1;2;1;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4297;1;3;1;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4298;1;1;1;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4299;1;2;3;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4300;1;1;3;1.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4301;1;2;2;2.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4302;1;3;1;2.1.2018 0:00:00;4;1;0;0;0;0;0;1;0;1;6;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4303;1;1;3;2.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4304;1;1;1;2.1.2018 0:00:00;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4305;1;2;1;2.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4306;1;2;3;2.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4307;1;3;3;2.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4308;1;1;1;3.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4309;1;2;2;3.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4310;1;3;3;3.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
4311;1;2;1;3.1.2018 0:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.4.2018 0:00:00;0;0;0;0
